,ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,RelIncAtLev,JobSwitchRate
0,0,41,Yes,Rare,Sales,1,2,Life Sciences,1,2,Female,3,2,Sales Executive,4,Single,6292.650000000001,8,Yes,11,3,1,0,8,0,1,6,4,0,5,922.1500000000005,1.0
1,1,49,No,Frequent,RnD,8,1,Life Sciences,2,3,Male,2,2,Research Scientist,2,Married,5130.0,1,No,23,4,4,1,10,3,3,10,7,1,7,-240.5,0.1
2,2,37,Yes,Rare,RnD,2,2,Other,4,4,Male,2,1,Laboratory Technician,3,Single,2194.5,6,Yes,15,3,2,0,7,3,3,0,0,0,0,-500.5,0.857
3,3,33,No,Frequent,RnD,3,4,Life Sciences,5,4,Female,3,1,Research Scientist,3,Married,2909.0,1,Yes,11,3,3,0,8,3,3,8,7,3,0,214.0,0.125
4,4,27,No,Rare,RnD,2,1,Medical,7,1,Male,3,1,Laboratory Technician,2,Married,3468.0,9,No,12,3,4,1,6,3,3,2,2,2,2,773.0,1.5
5,5,32,No,Frequent,RnD,2,2,Life Sciences,8,4,Male,3,1,Laboratory Technician,4,Single,3068.0,0,No,13,3,3,0,8,2,2,7,7,3,6,373.0,0.0
6,6,59,No,Rare,RnD,3,3,Medical,10,3,Female,4,1,Laboratory Technician,1,Married,2670.0,4,Yes,20,4,1,3,12,3,2,1,0,0,0,-25.0,0.333
7,7,30,No,Rare,RnD,24,1,Life Sciences,11,4,Male,3,1,Laboratory Technician,3,Single,2693.0,1,No,22,4,2,1,1,2,3,1,0,0,0,-2.0,1.0
8,8,38,No,Frequent,RnD,23,3,Life Sciences,12,4,Male,2,3,Manufacturing Director,3,Single,9526.0,0,No,21,4,2,0,10,2,3,9,7,1,8,-552.5499999999993,0.0
9,9,36,No,Rare,RnD,27,3,Medical,13,3,Male,3,2,Healthcare Representative,3,Married,5237.0,6,No,13,3,2,2,17,3,2,7,7,7,7,-133.5,0.353
10,10,35,No,Rare,RnD,16,3,Medical,14,1,Male,4,1,Laboratory Technician,2,Married,2426.0,0,No,13,3,3,1,6,5,3,5,4,0,3,-269.0,0.0
11,11,29,No,Rare,RnD,15,2,Life Sciences,15,4,Female,2,2,Laboratory Technician,3,Single,4193.0,0,Yes,12,3,4,0,10,3,3,9,5,0,8,-1177.5,0.0
12,12,31,No,Rare,RnD,26,1,Life Sciences,16,1,Male,3,1,Research Scientist,3,Single,2911.0,1,No,17,3,4,1,5,1,2,5,2,4,3,216.0,0.2
13,13,34,No,Rare,RnD,19,2,Medical,18,2,Male,3,1,Laboratory Technician,4,Single,2661.0,0,No,11,3,3,1,3,2,3,2,2,1,2,-34.0,0.0
14,14,28,Yes,Rare,RnD,24,3,Life Sciences,19,3,Male,2,1,Laboratory Technician,3,Single,2129.4,5,Yes,14,3,2,0,6,4,3,4,2,0,3,-565.5999999999999,0.833
15,15,29,No,Rare,RnD,21,4,Life Sciences,20,2,Female,4,3,Manufacturing Director,1,Single,9980.0,1,No,11,3,3,1,10,1,3,10,9,8,8,-98.54999999999927,0.1
16,16,32,No,Rare,RnD,5,2,Life Sciences,21,1,Male,4,1,Research Scientist,2,Single,3298.0,0,Yes,12,3,4,2,7,5,2,6,2,0,5,603.0,0.0
17,17,22,No,None,RnD,16,2,Medical,22,4,Male,4,1,Laboratory Technician,4,Single,2935.0,1,Yes,13,3,2,2,1,2,2,1,0,0,0,240.0,1.0
18,18,53,No,Rare,Sales,2,4,Life Sciences,23,1,Female,2,4,Manager,4,Married,15427.0,2,No,16,3,3,0,31,3,3,25,8,3,7,-727.0,0.065
19,19,38,No,Rare,RnD,2,3,Life Sciences,24,4,Male,3,1,Research Scientist,4,Single,3944.0,5,Yes,11,3,3,0,6,3,3,3,2,1,2,1249.0,0.833
20,20,24,No,None,RnD,11,2,Other,26,1,Female,4,2,Manufacturing Director,3,Single,4011.0,0,No,18,3,4,1,5,5,2,4,2,1,3,-1359.5,0.0
21,21,36,Yes,Rare,Sales,9,4,Life Sciences,27,3,Male,2,1,Sales Representative,1,Single,3577.3500000000004,7,No,23,4,2,0,10,4,3,5,3,0,3,882.3500000000004,0.7
